N,Data_Type,Algorithm,Time_ms,Memory_KB
50000,Sorted,Bucket,36.4729,849.86
50000,Sorted,Built-in,0.375,390.7
50000,Reversed,Quick,183.8327,1234.74
50000,Reversed,Merge,454.5971,976.62
50000,Reversed,Heap,872.6176,0.88
50000,Reversed,Counting,96.8888,2379.19
50000,Reversed,Radix,130.2258,4392.61
50000,Reversed,Bucket,281.3696,849.86
50000,Reversed,Built-in,0.3495,390.7
50000,Almost Sorted,Quick,176.8692,1257.35
50000,Almost Sorted,Merge,767.1333,861.87
50000,Almost Sorted,Heap,976.1715,0.88
50000,Almost Sorted,Counting,101.01,2379.16
50000,Almost Sorted,Radix,133.0122,4392.58
50000,Almost Sorted,Bucket,58.1865,849.86
50000,Almost Sorted,Built-in,1.8485,585.76
1000000,Random,Quick,1874.2659,38883.67
1000000,Random,Merge,25359.8775,16390.15
1000000,Random,Heap,31465.3734,1.13
1000000,Random,Counting,442.9291,8619.11
1000000,Random,Radix,3492.032,86334.61
1000000,Random,Bucket,241824.8102,16469.88
1000000,Random,Built-in,203.5407,11718.43
1000000,Sorted,Quick,3453.4172,24114.34
1000000,Sorted,Merge,13368.3636,19531.31
1000000,Sorted,Heap,29676.9338,1.13
1000000,Sorted,Counting,2163.1286,47305.29
1000000,Sorted,Radix,3544.2561,86807.02
1000000,Sorted,Bucket,2992.7661,16747.44
1000000,Sorted,Built-in,12.085,7812.57
1000000,Reversed,Quick,3549.0953,24114.37
1000000,Reversed,Merge,14116.8094,19531.31
1000000,Reversed,Heap,27492.4639,1.13
1000000,Reversed,Counting,2161.3202,47305.32
1000000,Reversed,Radix,3680.1256,86807.05
1000000,Reversed,Bucket,399353.2235,16747.38
1000000,Reversed,Built-in,12.8774,7812.57
1000000,Almost Sorted,Quick,4300.2813,35627.09
1000000,Almost Sorted,Merge,24349.9,16390.03
1000000,Almost Sorted,Heap,29146.5016,1.13
1000000,Almost Sorted,Counting,2082.5251,47305.29
1000000,Almost Sorted,Radix,3511.5514,86807.02
1000000,Almost Sorted,Bucket,46811.3627,16747.44
1000000,Almost Sorted,Built-in,65.5775,11718.58
